HEAD	id	access_class	last_access	read_security_id	write_security_id	object_name	access_class_context	owner	longitude	latitude	tag0	tag1	tag2	tag3	tag4	tag5	tag6	tag7	tag8	tag9	payload
DATA	31	CO_Place	1/2/70 0:00	0	0	Good Company Group	NULL	NULL	80.248944	13.055239	Saint Theresa\'s Church	4 Nungamrakkam High Road		Chennai	Nungamrakkam	TAM	600034	India	1	10:30:00	NULL
DATA	32	CO_US_Place	1/2/70 0:00	0	0	Freedom Group	NULL	NULL	-90.12896	42.9627073	Dodgeville Serenity Club	401 N. Union St.		Dodgeville		WI	53533	US	1	16:00:00	NULL
DATA	33	CO_US_Place	1/2/70 0:00	0	0	Spiritual Awakening	NULL	NULL	-74.20675	40.72303	Genesis Building	634 Clinton Avenue		Newark	Essex	NJ	7108	US	1	9:30:00	NULL
DATA	34	CO_US_Place	1/2/70 0:00	0	0	Wake Up Clean	NULL	NULL	-82.639348	27.760074	Freedom House	440 Roser Park Drive S		St. Petersburg		FL	33701	US	1	7:45:00	NULL
DATA	35	CO_US_Place	1/2/70 0:00	0	0	Sunday Morning Meditation	NULL	NULL	-74.23715	40.39472	St. Clements House Of Hope	172 Route 79		Matawan	Monmouth	NJ	7747	US	1	10:00:00	NULL
DATA	36	CO_US_Place	1/2/70 0:00	0	0	NA Malörten	NULL	NULL	13.1739194	55.3819431		Malörtsvägen 8		Trelleborg		Skåne	231 36	US	5	19:00:00	NULL
DATA	37	CO_US_Place	1/2/70 0:00	0	0	K.I.S.S.	NULL	NULL	-104.7539583	38.8815972		3450 W. Carefree Cir.		Colorado Springs	El Paso	CO	80917	US	7	19:00:00	NULL
DATA	38	CO_US_Place	1/2/70 0:00	0	0	Next Right Thing Group	NULL	NULL	-111.7387639	33.3712967	Spirit of Joy Church	1159 North Greenfield Road		Gilbert		AZ	85234-2845	US	2	19:00:00	NULL
DATA	39	CO_US_Place	1/2/70 0:00	0	0	Sanity is Possible Group	NULL	NULL	-112.321911	33.615736	Coury Plaza Mall	12313 Northwest Grand Avenue		El Mirage		AZ	85335	US	2	19:00:00	NULL
DATA	40	CO_US_Place	1/2/70 0:00	0	0	Desert Recovery Group	NULL	NULL	-110.2905517	31.9596224	St. Raphael\'s Episcopal Lutheran Church	730 S. Highway 80		Benson		AZ	85602-6931	US	2	19:00:00	NULL
DATA	41	CO_US_Place	1/2/70 0:00	0	0	Spiritual Awakening	NULL	NULL	-80.2533657	26.05058	Grace & Faith International Academy	6245 Miramar Parkway		Miramar		FL	33023	US	1	8:00:00	NULL
DATA	42	CO_US_Place	1/2/70 0:00	0	0	New Start	NULL	NULL	-76.87700701	39.05928327	Queens Chapel United Methodist Church	7410 Old Muirkirk Road		Beltsville		MD	20705	US	6	20:00:00	NULL
DATA	43	CO_US_Place	1/2/70 0:00	0	0	Broadway Group	NULL	NULL	-97.28325105	32.80960423		4311A Broadway Ave.		Haltom City		Texas	76117	US	5	12:00:00	NULL
DATA	44	CO_US_Place	1/2/70 0:00	0	0	Another Chance	NULL	NULL	-97.16425753	32.82202924		732 Brown Trail		Hurst		Texas	76053	US	5	18:00:00	NULL
DATA	45	CO_US_Place	1/2/70 0:00	0	0	Addicts in the Attic	NULL	NULL	-117.03933	34.011282		13340 California Street		Yucaipa		CA	92399	US	1	8:30:00	NULL
DATA	46	CO_US_Place	1/2/70 0:00	0	0	Sunset Recovery	NULL	NULL	-117.2952944	34.10994209	Norman Feldheym Library	555 West 6th Street		San Bernardino		CA	92410	US	2	15:30:00	NULL
DATA	47	CO_US_Place	1/2/70 0:00	0	0	Recovery By Candlelight	NULL	NULL	-87.824624	42.557871	Southport Lighthouse Recovery Club	8017 Sheridan Road		Kenosha		WI	53143	US	1	17:00:00	NULL
DATA	48	CO_US_Place	1/2/70 0:00	0	0	Living Clean Group	NULL	NULL	-112.0298465	34.7290827	Spectrum Healthcare	8 East Cottonwood Street		Cottonwood		AZ	86326-4382	US	1	8:00:00	NULL
DATA	49	CO_US_Place	1/2/70 0:00	0	0	High Noon Hope	NULL	NULL	-77.797551	38.713577	Warrenton Recovery Center	30 John Marshall Street		Warrenton		VA		US	2	12:00:00	NULL
DATA	50	CO_US_Place	1/2/70 0:00	0	0	Vision of Hope Group	NULL	NULL	-75.9255541	40.3466365	Christ Church Episcopal	435 Court Street		Reading		PA	19601-3952	US	2	12:00:00	NULL
DATA	51	CO_US_Place	1/2/70 0:00	0	0	Wellness Group	NULL	NULL	-74.2692	40.26021	YMCA at Rug Mill Apartments	41 Center St.		Freehold	Monmouth	NJ	7728	US	1	11:00:00	NULL
DATA	52	CO_US_Place	1/2/70 0:00	0	0	Midday Miracles Group	NULL	NULL	-75.471627	40.611627	Dubb\'s Memorial United Church	457 Allen Street		Allentown		PA	18102-2457	US	2	12:00:00	NULL
DATA	53	CO_US_Place	1/2/70 0:00	0	0	Bridges To Recovery	NULL	NULL	-91.3597332	44.9501409	LE Phillips Libertas Center	2661 County Hwy I		Chippewa Falls		WI	54729	US	1	18:00:00	NULL
DATA	54	CO_Place	1/2/70 0:00	0	0	12 Passi	NULL	NULL	10.2188695	45.5413122		"Vicolo Angelo, 7"		Brescia	Brescia	Lombardia	25122	Italia	2	21:00:00	NULL
DATA	55	CO_US_Place	1/2/70 0:00	0	0	Conscious Contact	NULL	NULL	-74.72808	39.45244	Presbyterian Church of Mays Landing	6001 Main St.		Mays Landing	Atlantic	NJ	8330	US	1	11:00:00	NULL
DATA	56	CO_US_Place	1/2/70 0:00	0	0	The Milford Hope Group	NULL	NULL	-83.6149087	42.5896714	Carls Family YMCA	300 family Dr		Milford	Oakland	MI	48381	US	3	20:00:00	NULL
DATA	57	CO_US_Place	1/2/70 0:00	0	0	Recovery in West Jeff Group	NULL	NULL	-83.2678536	39.9440182	West Jefferson United Methodist Church	36 South Center Street		West Jefferson	Madison	OH	43162-1502	US	3	18:30:00	NULL
DATA	58	CO_US_Place	1/2/70 0:00	0	0	Saturday Night Live	NULL	NULL	-104.9826069	39.6528739		3500 S. Logan St.		Englewood	Arapahoe	CO	80113	US	7	20:00:00	NULL
DATA	59	CO_US_Place	1/2/70 0:00	0	0	Valor	NULL	NULL	-117.5938529	33.87787209		1450 West 6th Street		Corona			92882	US	1	19:30:00	NULL
DATA	60	CO_US_Place	1/2/70 0:00	0	0	We Need Help	NULL	NULL	-71.65253888	42.83517392	Unitarian Universalist Church	20 Elm Street		Milford	Hillsborough County	NH	3055	US	2	19:00:00	NULL
DATA	61	CO_US_Place	1/2/70 0:00	0	0	Simply Sunday	NULL	NULL	-117.0575135	34.0233763	St. Alban Episcopal Church	12692 5th Street.		Yucaipa		CA	92399	US	1	19:00:00	NULL
DATA	62	CO_Place	1/2/70 0:00	0	0	Gällivaregruppen	NULL	NULL	20.6525435	67.1387915		Norskavägen 3		Gällivare		Norrbotten	98236	Sweden	6	18:00:00	NULL
DATA	63	CO_US_Place	1/2/70 0:00	0	0	Trelleborgsgruppen	NULL	NULL	13.1546	55.3756273		Nygatan 10		Trelleborg		Skåne	231 43	US	6	19:00:00	NULL
DATA	64	CO_US_Place	1/2/70 0:00	0	0	Thanks for the Miracle	NULL	NULL	-86.1645333	39.7994772	Fall Creek Pkwy Church of Christ	380 W. Fall Creek Pkwy N. Dr	Downtown	Indianapolis		IN		US	2	19:15:00	NULL
DATA	65	CO_US_Place	1/2/70 0:00	0	0	S.S.R.I.P	NULL	NULL	-97.546299	35.418573	Penn 44 Shopping Center	4740 S Pennsylvania Ave		Oklahoma City	Oklahoma	OK	73119	US	1	9:00:00	NULL
DATA	66	CO_US_Place	1/2/70 0:00	0	0	We Know Why Are We Here!	NULL	NULL	-105.9460458	35.6600646	St. Vincent Hospital	455 Saint Michaels Drive		Santa Fe		New Mexico	87505	US	1	9:00:00	NULL
DATA	67	CO_US_Place	1/2/70 0:00	0	0	Native American Women In Recovery	NULL	NULL	-93.2473074	44.9569292	Little Earth Office Building	2501 Cedar Avenue South		Minneapolis		MN	55404	US	6	19:00:00	NULL
DATA	68	CO_US_Place	1/2/70 0:00	0	0	Sunday Serenity Insanity Group	NULL	NULL	-71.385266	41.877703	Anchor Recovery Center	249 Main Street		Pawtucket		RI		US	1	10:30:00	NULL
DATA	69	CO_US_Place	1/2/70 0:00	0	0	Noon With a View	NULL	NULL	-117.239785	32.810758	park	5045 Soledad Rd		Pacific Beach		CA	92109	US	1	12:00:00	NULL
DATA	70	CO_US_Place	1/2/70 0:00	0	0	Real Hope Group	NULL	NULL	-87.6650578	34.8126166		855 Florence Blvd		Florence		AL		US	3	18:00:00	NULL
DATA	71	CO_US_Place	1/2/70 0:00	0	0	People in Recovery	NULL	NULL	-88.232945	31.090525		7875. State St.		Citronelle	Mobile	AL		US	7	20:00:00	NULL
DATA	72	CO_US_Place	1/2/70 0:00	0	0	Farfrumusing Group	NULL	NULL	-86.652078	30.417817	All Nations Baptist Church	430 Bryn Athyn Blvd		Mary Esther		FL	32569	US	7	20:00:00	NULL
DATA	73	CO_US_Place	1/2/70 0:00	0	0	Recovery	NULL	NULL	-91.112826	40.808971	Trinity Lutheran Church	115 South Central Avenue		Burlington	Des Moines	IA		US	1	19:00:00	NULL
DATA	74	CO_US_Place	1/2/70 0:00	0	0	No More Secrets	NULL	NULL	-74.19789	40.65915	Trinitas Hospital - Grassman Hall	655 E. Jersey Street		Elizabeth	Union	NJ	7206	US	1	17:00:00	NULL
DATA	75	CO_US_Place	1/2/70 0:00	0	0	Recovery Group	NULL	NULL	-91.112826	40.808971	Trinity Lutheran Church	115 South Central Avenue		Burlington	Des Moines	IA		US	5	19:00:00	NULL
DATA	76	CO_US_Place	1/2/70 0:00	0	0	Hope at Last	NULL	NULL	-84.3896159	38.9730142	The Bridge Church	7906 Alexandria Pike		Alexandria		Kentucky		US	1	19:00:00	NULL
DATA	77	CO_US_Place	1/2/70 0:00	0	0	Out of the Closet  & Into the Light	NULL	NULL	-80.0562339	26.6152295	Lambda North	18 South J Street		Lake Worth		FL	33460	US	1	9:30:00	NULL
DATA	78	CO_US_Place	1/2/70 0:00	0	0	Recovery	NULL	NULL	-91.112826	40.808971	Trinity Lutheran Church	115 South Central Avenue		Burlington	Des Moines	IA		US	3	19:00:00	NULL
DATA	79	CO_US_Place	1/2/70 0:00	0	0	Stepping Stones	NULL	NULL	-87.624782	45.095591	St Paul\'s Episcopal Church	917 Church St.		Marinette		WI	54143	US	1	18:00:00	NULL
DATA	80	CO_US_Place	1/2/70 0:00	0	0	Breakfast Club	NULL	NULL	-80.073871	26.484935	Church of the Palms	1960 NORTH SWINTON		Delray Beach		FL		US	1	8:00:00	NULL
DATA	81	CO_US_Place	1/2/70 0:00	0	0	Biscuits & Gravy Group	NULL	NULL	-112.4919604	34.5429933	Serenity Place	1519 West Gurley Street		Prescott		AZ	86305-2880	US	1	8:30:00	NULL
DATA	82	CO_Place	1/2/70 0:00	0	0	Samarcanda	NULL	NULL	10.2580624	45.5162323	Casa delle Associazioni	"Via Cimabue, 16"		Brescia	Brescia	Lombardia	25134	Italia	2	21:00:00	NULL
DATA	83	CO_US_Place	1/2/70 0:00	0	0	The Message of Hope	NULL	NULL	-71.4582946	41.7681503	Woodridge Congregational	30 Jackson Road		Cranston	Providence County	RI	2920	US	1	19:00:00	NULL
DATA	84	CO_US_Place	1/2/70 0:00	0	0	Rest Beach Recovery	NULL	NULL	-81.790169	24.554758	Rest Beach/left of white street pier	Atlantic Blvd. & White St.		Key West		FL	33040	US	1	8:00:00	NULL
DATA	85	CO_US_Place	1/2/70 0:00	0	0	Friday Night Clean	NULL	NULL	-82.60465622	27.47937741	43rd St Church of Christ	2300 43rd Street W		Bradenton		Florida		US	6	19:00:00	NULL
DATA	86	CO_US_Place	1/2/70 0:00	0	0	Broadway Group	NULL	NULL	-97.28325105	32.80960423		4311A Broadway Ave.		Haltom City		Texas	76117	US	5	19:00:00	NULL
DATA	87	CO_US_Place	1/2/70 0:00	0	0	Better Late Than Never Group	NULL	NULL	-64.77981091	32.29606611	BDA Industrial Union Building	49 Union St		Hamilton		Bermuda		US	6	19:00:00	NULL
DATA	88	CO_US_Place	1/2/70 0:00	0	0	We Recover Together or Die Alone	NULL	NULL	-118.1594495	34.1976338		3025 Lincoln Avenue		Altadena		California	91001	US	2	18:30:00	NULL
DATA	89	CO_US_Place	1/2/70 0:00	0	0	Alive & Kicking Group	NULL	NULL	-95.341191	29.699831		2418 Pierce St		Houston		TX	77003	US	1	9:30:00	NULL
DATA	90	CO_US_Place	1/2/70 0:00	0	0	Sunday Morning Spiritual Round Robin	NULL	NULL	-113.0573173	37.6659224	Southwest Behavioral Center	245 East 680 South		Cedar City	Iron County	UT	84720	US	1	10:00:00	NULL
DATA	91	CO_Place	1/2/70 0:00	0	0	Sweet Den Group	NULL	NULL	85.8396655	20.3039745	Utkal University Psychology Department	Vani Vihar		Bhubaneswar		ORI	751004	India	1	11:00:00	NULL
DATA	92	CO_US_Place	1/2/70 0:00	0	0	Leap of Faith	NULL	NULL	-71.599234	43.2816959	United Church of Penacook	21 Merrimack Street		Penacook	Merrimack County	NH	3303	US	2	19:00:00	NULL
DATA	93	CO_US_Place	1/2/70 0:00	0	0	Ready & Willing	NULL	NULL	-74.0748731	40.7121979	Christ the King Church (rectory)	768 Ocean Avenue		Jersey City	Hudson	NJ	7304	US	1	17:00:00	NULL
DATA	94	CO_US_Place	1/2/70 0:00	0	0	Dealing With Feelings	NULL	NULL	-76.0783243	38.5643758	New Way of Life Club	742 Race St.		Cambridge	Dorchester	MD	21613	US	2	12:00:00	NULL
DATA	95	CO_US_Place	1/2/70 0:00	0	0	Hamilton Noon	NULL	NULL	-76.562445	39.350807	Faith Community UMC	5315 Harford Rd.		Baltimore	Baltimore City	MD	21214	US	2	12:00:00	NULL
DATA	96	CO_US_Place	1/2/70 0:00	0	0	Dedication	NULL	NULL	-71.521055	41.694052	St Therese Old Catholic Church	1500 Main Street		West Warwick		RI	2893	US	1	19:00:00	NULL
DATA	97	CO_US_Place	1/2/70 0:00	0	0	Steps To Freedom	NULL	NULL	-71.406041	41.726534	Pilgrim Lutheran Church	1817 Warwick Avenue		Warwick		RI		US	2	19:00:00	NULL
DATA	98	CO_US_Place	1/2/70 0:00	0	0	Addicts Living In Recovery	NULL	NULL	-115.155069	36.1550725		1329 S Commerce St.		Las Vegas	Clark County	NV	89104	US	1	9:30:00	NULL
DATA	99	CO_US_Place	1/2/70 0:00	0	0	Third Tradition Group	NULL	NULL	-87.2154729	30.4142817		10 E. Chase Street (upstairs)		Pensacola		FL	32502	US	7	20:00:00	NULL
DATA	100	CO_US_Place	1/2/70 0:00	0	0	Sunday Morning Meeting	NULL	NULL	-115.2075195	36.1855748	3M Club	1401 N. Decatur Blvd.		Las Vegas	Clark County	NV	89108	US	1	9:30:00	NULL
DATA	101	CO_Place	1/2/70 0:00	0	0	Alle 7 della sera	NULL	NULL	9.1565375	45.4683292	Parrocchia di San Pietro in Sala	"Piazza Wagner, 2"		Milano	Milano	Lombardia	20145	Italia	3	7:30:00	NULL
DATA	102	CO_US_Place	1/2/70 0:00	0	0	Return To Sanity	NULL	NULL	-74.473884	40.544008	College Of Medicine and Dentistry	671 Hoes Lane West		Piscataway	Middlesex	NJ	8854	US	1	18:00:00	NULL
DATA	103	CO_US_Place	1/2/70 0:00	0	0	What We Can Do at Noon Group	NULL	NULL	-75.6000701	38.3572914	Salisbury Substance Abuse Community Center	"726 South Salisbury Boulevard, Suite E"		Salisbury	Wicomico	MD	21801	US	2	12:00:00	NULL
DATA	104	CO_US_Place	1/2/70 0:00	0	0	You Better Work	NULL	NULL	-74.44226	40.49549	Christ Church	5 Paterson Street		New Brunswick	Middlesex	NJ	8901	US	1	18:30:00	NULL
DATA	105	CO_US_Place	1/2/70 0:00	0	0	Search For Serenity	NULL	NULL	-76.9130156	38.7619613	Prince George\'s Health Dept	9314 Piscataway Rd		Clinton	Prince George\'s County	MD	20735	US	3	18:30:00	NULL
DATA	106	CO_US_Place	1/2/70 0:00	0	0	Serenity on Sunday	NULL	NULL	-74.18875	39.93819	St. Paul\'s Lutheran Church	130 Cable Ave.		Beachwood	Ocean	NJ	8722	US	1	19:00:00	NULL
DATA	107	CO_US_Place	1/2/70 0:00	0	0	Sisters Back to Basics	NULL	NULL	-71.451673	42.9305435	Bethany Chapel	54 Newbury Road		Manchester	Hillsborough County	NH	3103	US	3	18:00:00	NULL
DATA	108	CO_US_Place	1/2/70 0:00	0	0	On The Line	NULL	NULL	-86.2783624	32.3871055		605 N Maryland St		Montgomery		AL	36107	US	7	20:00:00	NULL
DATA	109	CO_US_Place	1/2/70 0:00	0	0	Acceptance Group	NULL	NULL	-74.42229	40.61813	St. Mark\'s Episcopal Church	1430 Park Avenue		Plainfield	Union	NJ	7060	US	1	19:00:00	NULL
DATA	110	CO_US_Place	1/2/70 0:00	0	0	S.O.S.	NULL	NULL	-80.090363	26.471123	Crossroads Club	1700 Lake Ida Rd.		Delray Beach		FL		US	1	9:00:00	NULL
DATA	111	CO_US_Place	1/2/70 0:00	0	0	Serenity at Shamrock	NULL	NULL	-82.435562	27.053856	Shamrock Park & Nature Center	3900 Shamrock Dr.		Venice		FL		US	1	9:00:00	NULL
DATA	112	CO_US_Place	1/2/70 0:00	0	0	A Message of Hope	NULL	NULL	-81.345384	28.699289		128 E. Bay Ave.		Longwood		FL	32750	US	1	9:00:00	NULL
DATA	113	CO_US_Place	1/2/70 0:00	0	0	New Way Of Life	NULL	NULL	-87.943232	43.060115		2407 W North Ave		Milwaukee		WI	53205	US	1	18:30:00	NULL
DATA	114	CO_US_Place	1/2/70 0:00	0	0	Sunrise to Sunset	NULL	NULL	-85.6878462	42.9777689	Matthew\'s House of Ministry	766 7th St. NW		Grand Rapids		MI		US	4	8:00:00	NULL
DATA	115	CO_US_Place	1/2/70 0:00	0	0	NA Malörten	NULL	NULL	13.1739194	55.3819431		Malörtsvägen 8		Trelleborg		Skåne	231 36	US	7	15:00:00	NULL
DATA	116	CO_US_Place	1/2/70 0:00	0	0	We Do Recover	NULL	NULL	-87.793957	42.703233	Zoe Church	2130 Racine Street		Racine		WI	53404	US	1	18:30:00	NULL
DATA	117	CO_US_Place	1/2/70 0:00	0	0	Ensename A Vivir	NULL	NULL	-118.0035603	34.12965283		1652 South Main Street		Santa Ana			92706	US	2	19:30:00	NULL
DATA	118	CO_US_Place	1/2/70 0:00	0	0	Top of the Hill Spiritual	NULL	NULL	-117.2229	33.21022	park	1200 Vale Terrace Dr		Vista		CA	92084	US	1	9:00:00	NULL
DATA	119	CO_US_Place	1/2/70 0:00	0	0	"Face Anything, Fear Nothing"	NULL	NULL	-91.663386	41.980405	Ecumenical Community Center	601 2nd Avenue SouthEast		Cedar Rapids	Linn	IA		US	1	18:00:00	NULL
DATA	120	CO_Place	1/2/70 0:00	0	0	Charisma Group	NULL	NULL	88.360964	22.4745498	Shantirani Primary School	"209, N.S.C. Bose Road"		Kolkata		WB	700047	India	1	12:00:00	NULL
DATA	121	CO_US_Place	1/2/70 0:00	0	0	Thee Most Awesome Group of NA	NULL	NULL	-78.8881	33.70524	First floor of Core Fitness building	1147 Robert M. Grissom Parkway		Myrtle Beach	Horry	SC	29577-5664	US	1	13:00:00	NULL
DATA	122	CO_Place	1/2/70 0:00	0	0	Vilda Västern	NULL	NULL	13.1705187	55.7015632		Stenmästarevägen 9		Lund		Skåne	227 30	Sverige	7	20:00:00	NULL
DATA	123	CO_Place	1/2/70 0:00	0	0	Bara för inatt	NULL	NULL	18.0716708	59.3097228	Allahelgonakyrkans cafélokal	Helgalunden 17		Stockholm		Stockholm	118 58	Sverige	7	22:00:00	NULL
DATA	124	CO_US_Place	1/2/70 0:00	0	0	Dose of Recovery/Road to Success Group	NULL	NULL	-112.0566252	33.480871	Freedom Hall	2727 E Thomas RD		Phoenix		AZ	85016	US	1	18:30:00	NULL
DATA	125	CO_US_Place	1/2/70 0:00	0	0	Dynamite Men\'s Group	NULL	NULL	-112.029227	33.74319	Northridge Community Church	6363 East Dynamite Boulevard		Cave Creek		AZ	85331-3498	US	2	19:00:00	NULL
DATA	126	CO_US_Place	1/2/70 0:00	0	0	O\'HA NA	NULL	NULL	-112.370445	33.44822319		14495 W. R H Johnson BLVD		Sun City West		Arizona	85375	US	2	19:00:00	NULL
DATA	127	CO_US_Place	1/2/70 0:00	0	0	A Conscious Contact	NULL	NULL	-97.4127481	27.75984882	Coastal Bend Recovery Club	3307 Ayers		Corpus Christi		TX	78415	US	1	10:00:00	NULL
DATA	128	CO_US_Place	1/2/70 0:00	0	0	Santa Ana Alano Club	NULL	NULL	-117.8678405	33.7250778	Santa Ana Alano Club	1752 South Main Street		Santa Ana			92707	US	2	12:00:00	NULL
DATA	129	CO_US_Place	1/2/70 0:00	0	0	The Other Place	NULL	NULL	-117.851779	33.770907	The Other Place	2525 North Grand Avenue		Santa Ana			92705	US	2	19:00:00	NULL
DATA	130	CO_US_Place	1/2/70 0:00	0	0	Granite State Brotherhood Meeting	NULL	NULL	-71.4482046	42.9812416	Old Hoitt\'s Furniture Building	293 Wilson Street		Manchester	Hillsborough County	NH	3103	US	3	18:00:00	NULL
DATA	131	CO_US_Place	1/2/70 0:00	0	0	Friday Morning Group	NULL	NULL	-117.9320247	33.6485224	Costa Mesa Alano Club	2040 Placentia Avenue		Costa Mesa			92627	US	6	7:00:00	NULL
